recipename,instructions,cuisine,course_type,dietary_preference
Baked Parmesan Herb Tomatoes,"[""Preheat oven to 400\u00b0F."", ""Place the tomatoes, cut side up, on a baking sheet or in a baking pan. Brush the cut side of the tomatoes with olive oil. Sprinkle minced garlic evenly over tomatoes."", ""In a small bowl, stir together Parmesan cheese, parsley, oregano and salt. Sprinkle cheese mixture evenly over the tomatoes."", ""Baked until cheese is melted and tomatoes are tender, about 15 minutes. Serve.""]",italian,side,vegetarian
Beef Roast,"[""Salt and pepper roast."", ""Put all ingredients into 1 browning bag."", ""Tie end and cut slits into top of bag."", ""Set oven for 350\u00b0. Cook for 2 hours or until done.""]",american,main,omnivorous
Sweet Chili Tuna Wraps,"[""Combine tuna, mayonnaise and sweet chili sauce. Season. Spread over sandwich wraps and top with spinach and grated carrot. Roll up to enclose filling."", ""Wrap in parchment paper and tie with string.""]",asian,main,omnivorous
Three Bean Casserole,"[""Brown meat and onion; drain."", ""Season with salt and pepper to taste."", ""Combine with remaining ingredients."", ""Bake at 350\u00b0 for 1 hour.""]",american,main,omnivorous
Chicken Chipotle,"[""Put the chicken breasts, onion, garlic cloves and 1 Tablespoon of salt in large pot and add water to cover."", ""Bring to a boil, then reduce to a simmer and cook 20 minutes. Drain well."", ""While chicken is cooking, preheat the oven to 325 degrees Farenheit and grease a 9x13 baking dish."", ""Combine the cream cheese, milk, chiles and salt and blend well, then season to taste with salt and pepper."", ""NOTE: If you're not sure how much heat you want in your sauce, start with one or two of the chipotles, and taste the sauce."", ""Place the chicken in the baking dish and pour the sauce over the top."", ""Sprinkle with paprika and bake 20 minutes.""]",mexican,main,omnivorous
Spicy Roasted Chile Peanuts And Pepitas,"[""Preheat oven to 350\u00b0. Stir together peanuts and melted butter in a medium bowl."", ""Stir together brown sugar and next 3 ingredients. Add to peanut mixture, tossing to coat. Place peanuts in a single layer on a lightly greased baking sheet."", ""Bake at 350\u00b0 for 10 to 15 minutes or until golden brown, stirring once. Remove from oven, and stir in pumpkin seeds. Cool completely in pan on a wire rack (about 20 minutes).""]",mexican,side,vegan
Chickpea Stew,"[""Place the olive oil in a heavy saucepan over medium-low heat. Add the onion; stirring occasionally, cook until wilted, about 12 minutes. Add the garlic during the last 2 minutes. Stir in the cumin and cook 2 minutes more to mellow the flavors."", ""Add the chickpeas, the tomatoes with their juices, thyme, honey, lemon juice, broth, salt and pepper. Bring to a boil, skimming off any foam that rises to the surface. Reduce the heat and simmer, uncovered, for 15 to 20 minutes. Adjust the seasonings and stir in the parsley."", ""To serve, spoon couscous (if desired) into 4 shallow bowls and top with the stew. Serve immediately.""]",middle eastern,main,vegan
Almond Joy Cookies,"[""Mix condensed milk and unsweetened milk in top of double boiler for 7 minutes."", ""Add cooked mixture with coconut, vanilla and salt. Drop by teaspoon on a cookie sheet."", ""Place almonds on top of each cookie, if desired."", ""Bake at 350\u00b0 for 9 to 12 minutes."", ""Watch as it gets real brown on bottom.""]",american,dessert,vegetarian
Lasagna,"[""Brown beef with onion and garlic."", ""Add remaining ingredients. Simmer for 1 hour."", ""Cook lasagna noodles."", ""In 13 x 9-inch pan, spread 1/2 cup tomato sauce, layer noodles, sauce, Mozzarella cheese and Parmesan cheese, until pan is filled."", ""Top with sauce. Sprinkle with Parmesan cheese."", ""Bake at 375\u00b0 for 20 minutes.""]",italian,main,omnivorous
In a hurry stew,"[""Boil the noodles."", ""Heat olive oil in a large pot, add the onion and sprinkle with garlic salt."", ""Saute for a few minutes then add the ground turkey and more seasoning of your choice."", ""The photo shows my go to seasoning."", ""For this I used the Chicago steak & garlic salt."", ""Once the meat is browned add the peppers, tomato, tomato sauce, & water*, simmer covered on low heat for 10 minutes."", ""*for the water you can use the little can of tomato sauce to measure, that way you get all of the sauce."", ""Add the noodles (drained) & stir until mixed."", ""Serve topped with shredded cheese.""]",american,main,omnivorous
Chocolate Mousse Pie (Can Be Made Non-Dairy),"[""Melt chocolate in the top of a double boiler."", ""Then, beat at high speed until smooth: the melted chocolate, margarine, eggs, and sugar."", ""(at this point i place the mixture back on the double boiler and heat it because of the raw eggs, but i've heard that there is only a possibility of Salmonella with CRACKED eggs, otherwise there is no danger at all)."", ""In clean and dry mixer, whip non dairy whipping cream until soft peaks form according to package directions (it took me a quarter of the time that it said it would on the box)."", ""Put some of that whipped topping aside for the top of the pie."", ""Gently combine the chocolate mixture with the whipped dessert and scoop into pie crust."", ""Freeze for a bit (45 minutes?) to set the chocolate layer."", ""Spread rest of whipped topping on top."", ""For a softer consistency, like pudding, keep in fridge, or take out with time to defrost it before serving. for a richer denser consistency, keep in freezer till a few minutes before serving."", ""YUM!""]",french,dessert,omnivorous
Butter Crunch Candy,"[""Grease a 13 x 9 x 2-inch pan with butter."", ""Combine sugar, butter, water and syrup."", ""Cook over medium heat to 290\u00b0 on candy thermometer."", ""Sprinkle half of nuts in bottom of pan."", ""Pour syrup over nuts."", ""Break up or grate chocolate over top of hot mixture and when melted, sprinkle remainder of nuts on top of chocolate."", ""Press in slightly."", ""Refrigerate until cool."", ""Break into pieces.""]",american,dessert,omnivorous
Green Jello Salad,"[""Dissolve jello in 3 cups of boiling water."", ""Mix mayonnaise, milk, lemon juice, cottage cheese and pineapple together and add to jello."", ""Stir to mix well."", ""Add to jello mixture the celery and pecans."", ""Refrigerate until solid.""]",american,side,omnivorous
Cream Cheesy Flan,"[""For Caramel Topping: In a 6-inch metal bowl, put 1/4 cup sugar. Heat on high while stirring with spoon constantly until sugar melts. When it is fairly dark, take off stove and set aside. In a blender, put all ingredients, except topping; blend well. Pour it into a metal bowl with caramelized sugar. Cover with aluminum foil. Put rubber band around foil and pan edge.""]",latin american,dessert,omnivorous
Pepperoni Pizza Puffs,"[""Preheat the oven to 375."", ""Grease 24-cup mini-muffin pan."", ""In a large bowl, whisk together flour, baking powder, Italian seasoning, and salt."", ""Whisk in the milk and egg."", ""Stack slices of pepperoni and cut into small pieces."", ""Stir in mozzarella, Parmesan, and pepperoni."", ""Let stand for 10 minutes."", ""Stir the batter and divide among the mini-muffin cups."", ""Bake until puffy and golden, about 20-25 minutes."", ""Meanwhile, heat the pizza sauce until warmed through."", ""Serve the sauce with the Pizza Puffs for dipping.""]",italian,starter,omnivorous
Bread Pudding,"[""Soak stale bread in milk."", ""Crush with hands until well mixed. Add eggs, sugar, vanilla and fruit."", ""Pour margarine in bottom of thick pan and bake until very firm."", ""Let cool and serve in cubes with lemon sauce.""]",american,dessert,omnivorous
Lasagna,"[""Brown meat in large skillet."", ""Add onion, garlic salt and oregano."", ""Cook until onion is tender."", ""Add soup and vinegar; simmer for 30 minutes, stirring occasionally."", ""In a medium bowl, mix the Ricotta cheese, egg, parsley flakes, sugar and a dash of pepper."", ""In a 9 x 13-inch pan, layer noodles, cheese mixture, meat sauce and Mozzarella."", ""Repeat layers."", ""Sprinkle final layer with Parmesan."", ""Bake at 350\u00b0 for 45 minutes."", ""Let stand 15 minutes before serving.""]",italian,main,omnivorous
Green Bean And Jicama Salad,"[""In a small bowl, mix onion, 1 tablespoon vinegar, and 1 1/2 cups cold water; let stand at least 20 minutes."", ""Rinse beans and cut into julienne strips with a food processor, French bean cutter (slicing bars in the handle of some vegetable peelers), or knife. In a 3- to 4-quart pan over high heat, bring 2 quarts water to a boil. Add beans and cook just until tender-crisp, 2 to 5 minutes. Drain beans and immerse them at once in ice water until they are cold. Drain well."", ""Meanwhile, cut jicama into 1/4-inch-thick sticks."", ""In a large bowl, mix remaining vinegar with oil, mustard, and oregano. Drain onion. Add onion, beans, jicama, and watercress to bowl. Mix well and add salt and pepper to taste.""]",latin american,side,vegan
Crazy Crust Pie,"[""Combine flour, baking powder, salt, sugar, egg, shortening and water."", ""Mix 2 minutes on medium speed."", ""Pour into greased 9-inch pie pan."", ""Pour pie filling into center, top with lemon juice. Bake at 425\u00b0 for 45 to 50 minutes.""]",american,dessert,vegetarian
Herb Rolls,"[""Put 2 cups flour, sugar, salt, powdered milk, and undissolved yeast in bowl."", ""Stir."", ""Add 2 1/2 cups very warm water (120 F) and melted butter to flour mixture."", ""Mix with mixer (dough hook) for 2 minutes."", ""Add remaining flour 1/2 cup at a time until dough clings to hook and cleans sides of bowl."", ""Continue mixing 5 minutes (or knead) Place in a greased bowl."", ""Turn to coat both sides with oil."", ""Let rise 20 minutes."", ""Once risen, roll out to 1/2 inch thick in a large rectangle."", ""Top rectangle with half of butter mixture then sprinkle with 3/4 cup cheddar cheese."", ""Roll like cinnamon rolls, cut about 1/2-1 inch thick, then place on a pan."", ""Coat with remaining butter."", ""Let rise until double in bulk."", ""Bake at 425F for 10-12 minutes or until golden brown.""]",european,side,vegetarian
Crostini with Pork Tenderloin and Herbed Cheese,"[""Preheat oven to 400 degrees F."", ""Heat olive oil in a large skillet with a metal handle over medium-high heat."", ""Add tenderloin and sear each side."", ""After all sides have been seared, place skillet in oven and roast for 15 to 20 minutes per pound (per tenderloin) or until an instant-read thermometer registers 155 to 160 degrees F. Remove from oven and let rest for 10 minutes."", ""Place baguette slices on a baking sheet and toast in preheated oven until just golden around the edges, about 7 to 10 minutes."", ""Remove and set aside to cool."", ""Spread toasted baguette slices with 1 heaping teaspoon of the herb cheese spread."", ""Slice pork tenderloin into 1/4-inch thick slices and place on top of bread slices."", ""Top each slice of pork with a small dollop of the herb cheese spread and top with a cherry tomato half.""]",italian,starter,omnivorous
Chicken Soup,"[""In large kettle, cook celery and onion in butter until tender; add water, chicken, carrots, bouillon, marjoram, pepper and bay leaf. Bring to boil. Reduce heat; cover and simmer 30 minutes. Remove bay leaf; add noodles and parsley. Cook 10 minutes longer. Serve.""]",american,main,omnivorous
Janean'S Clam Chowder,"[""In saucepan add clam juice and enough water to cook potatoes in."", ""Cook until tender."", ""Fry bacon until crisp."", ""Set aside."", ""In the fat, fry onions."", ""Set aside and fry mushrooms."", ""Add all ingredients together except clams and bring just to boil, then add a flour thickener (flour and water)."", ""Now add clams and cook 8 to 10 minutes."", ""Do not overcook clams."", ""Also be sure to stir often so as not to burn."", ""Salt and pepper to taste.""]",american,main,omnivorous
Poached Beef Tenderloin,"[""Put the meat in a deep pan just large enough to hold ita Dutch oven is usually ideal, but you can curve the meat into a wide saucepan tooand cover it with boiling water or stock."", ""Add a large pinch of salt if youre using water or if the stock is unsalted."", ""Adjust the heat so that the mixture bubbles gentlyon my stove thats medium."", ""Cook until the meats internal temperature reaches 120F (use an instant-read thermometer); 125F if you prefer medium-rare."", ""Remove the meat and let it sit for about 5 minutes, then cut into 1/2- to 1-inch-thick slices."", ""Serve immediately with the garnishes.""]",american,main,omnivorous
Apple Sausage Onion Kabobs,"[""Cut sausage into 18 slices. Thread sausage, apples and onions onto 6 skewers, leaving a small space between each item."", ""Combine apple jelly and thyme in a small saucepan; heat on medium-low until jelly melts."", ""Grill kabobs over medium heat, turning frequently for 10 minutes. Brush kabobs with jelly mixture and grill 2 minutes longer, or until apples and onions are crisp-tender.""]",american,main,omnivorous
Wild Rice With Mushrooms and Almonds for 2,"[""Melt butter in 8-inch skillet; cook and stir rice, almonds and onion until almonds are golden brown, about 10 minutes."", ""Heat oven to 350 degrees."", ""Stir mushrooms (with liquid) and chicken broth into skillet; heat to boiling."", ""Pour rice mixture into ungreased 2 1/2 cup casserole."", ""Cover and bake until all liquid is absorbed and rice is tender, about 1 hour.""]",american,side,vegetarian
Grandma'S Drippy Icing,"[""Combine in a small pan. Stir all of the time while cooking. Boil until thickened, then it is ready to use on cake. Real good on chocolate cake and can be used on other kinds.""]",american,dessert,vegetarian
How to Make Rice in a Frying Pan,"[""Wash and soak the rice as usual and then add it to a frying pan."", ""Pour about 5mm-1cm of water over the rice."", ""Cover with a lid and turn the heat to high."", ""Once it comes to a boil, lower the heat and let it simmer for 5 minutes."", ""Here's how it looks after 5 minutes."", ""Once the rice has become plump, turn the heat to high until the frying pan begins to sizzle."", ""Stop the heat and let it steam for 10 minutes."", ""Stir it up to evaporate the remaining liquid and enjoy."", ""By the way, it doesn't retain heat very well, so pack it into a container with the steam while still hot."", ""Once it has cooled, store in the freezer."", ""Related recipes: Boiled Egg in Half a Cup of Water, How to Boil Spinach"", ""By the way, you can make a very nice poached egg if you cover an egg with plastic wrap and add to the pot as the rice is steaming for 10 minutes."", ""Please try it out if you want!""]",asian,side,vegan
Veggie Pizza,"[""Heat oven to 375\u00b0."", ""Join dough pieces and spread over a jelly roll pan and bake for 8 to 10 minutes until golden brown and allow to cool."", ""Cream sour cream, Ranch dressing, onions and cream cheese."", ""Spread creamed mixture across the pastry."", ""Add a variety of chopped fresh vegetables to top the pastry."", ""Cut to appetizer size pieces and chill.""]",italian,main,vegetarian
Chocolate Pixies,"[""In small saucepan, melt butter and chocolate over low heat, 8 to 10 minutes."", ""Cool."", ""In large mixer bowl, combine melted chocolate mixture, 1 cup (225 ml) of the flour, granulated sugar, eggs, baking powder and salt."", ""Beat at medium speed, scraping bowl often, until well mixed, 2 to 3 minutes."", ""Stir in remaining 1 cup (225 ml) flour and the nuts."", ""Cover; refrigerate until firm, at least 2 hours."", ""Heat oven to 300 deg."", ""Shape rounded tspfuls of dough into 1-inch balls; roll in powdered sugar."", ""Place 2 inches apart on greased cookie sheets."", ""Bake for 12 to 15 minutes, or until firm to the touch."", ""Remove immediately.""]",american,dessert,vegetarian
Black Bean Tostados ,"[""1. In a frying pan, warm oil over medium heat. Add garlic, onion, and red pepper and cook, stirring occasionally, until onion is softened, 8 to 10 minutes. Stir in ground chile and cumin and cook until fragrant, about 1 minute."", ""2. Drain beans, reserving their liquid, and add to pan along with about 1/2 cup liquid. Stir and mash until beans form a slightly chunky puree and are heated through, about 3 minutes."", ""3. To assemble tostadas, top each shell with 1/2 cup bean mixture, a few radishes, avocado slices, and cheese. Serve with lime wedges and salsa and/or sour cream."", ""*Find in Latino markets and well-stocked grocery stores.""]",mexican,main,vegan
Homemade Butter,"[""Lay margarine out at room temperature and let soften."", ""Mix all ingredients."", ""Beat until fluffy."", ""Place in fridge to cool.""]",american,side,vegetarian
Orange Barbecue Sauce,"[""Mix all ingredients until well blended."", ""Use as grilling sauce for poultry, ribs, pork tenderloin or chops.""]",american,side,omnivorous
Chocolate Mandarin Orange Cheese Cake Recipe,"[""Crust: Crush graham crackers fine; fold in 6 Tbsp."", ""melted butter and 4 Tbsp."", ""sugar."", ""Mix well."", ""Press into bottom of spring-form pan."", ""Cheese Cake: Cream cream cheese and 1 c. sugar."", ""Add in 1 egg at a time."", ""Beat till very smooth."", ""Heat chocolate chips and chocolate squares and 2 Tbsp."", ""butter; stir over low heat."", ""Add in to cream cheese mix."", ""In food processor, add in oranges, orange rind, extract, and 3 Tbsp."", ""sugar."", ""Mix till totally liquid."", ""Spoon liquid into chocolate cheese mix."", ""Mix gently."", ""Pour onto crust."", ""Bake at 450 degrees for 10 min then at 250 degrees for approximately 50 min."", ""Turn off oven."", ""Leave door ajar, leaving cheese cake in till edges begin to pull away from sides of pan."", ""Cold thoroughly.""]",american,dessert,vegetarian
Clam Chowder with Buttered Croutons,"[""Wash well and drain: 2 pounds clams."", ""Place in a heavy pot with 1/3 cup water."", ""Cover and cook over medium-high heat until the clams open."", ""Remove the clams from the pot."", ""When cool, remove the clams from their shells."", ""If they are big clams, chop them; other wise, leave them whole."", ""Strain the liquor left in the pot through a couple layers of cheesecloth."", ""Peel and cut into small cubes: 1/4 pound potatoes (about 3/4 cup, cubed)."", ""Cook the potatoes in salted boiling water until almost done."", ""Drain and set aside."", ""Heat in a heavy soup pot: 2 teaspoons butter."", ""When melted, add: 1 1/2 slices bacon, cut crosswise into 1/4-inch pieces."", ""Cook over medium heat until almost crisp."", ""Remove the bacon pieces and add: 1 onion, diced fine, 2 thyme sprigs, leaves only."", ""Cook for a few minutes and add: 1 small celery stalk, diced fine."", ""Continue cooking, stirring now and then, until the onions are soft and golden."", ""Season with: Salt, Fresh-ground black pepper."", ""Add the potatoes and bacon and cook for a couple of minutes."", ""Add the clams with their liquor."", ""Heat to a boil, immediately turn down to a simmer, and cook until the potatoes are soft, about 3 or 4 minutes."", ""Pour in: 3/4 cup milk, 1/3 cup cream."", ""Heat gently, but do not allow the chowder to come to a boil."", ""Taste for seasoning and adjust as needed."", ""Serve garnished with: Buttered croutons (see page 58), Fresh-ground black pepper."", ""Use mussels instead of clams."", ""Make a fish chowder."", ""Cut fish fillets into bite-size pieces and use water or fish stock instead of the clam liquor.""]",american,main,omnivorous
Sour Cream White Fudge,"[""Combine first 5 ingredients."", ""Bring slowly to a boil, stirring until sugar melts."", ""Do not boil anymore, but cook slowly to 236\u00b0 or to a soft ball stage."", ""Let stand 15 minutes, then add vanilla and nuts."", ""Beat until mixture loses its gloss and pour into lightly buttered 8 x 8-inch pan."", ""Score warm, then cut into squares when cooled.""]",american,dessert,vegetarian
Sugar Cookies,"[""Cream sugar and butter; add eggs and beat well."", ""Add milk and flour, sifted with soda, baking powder and salt."", ""Add vanilla. Mix and drop by teaspoon onto greased cookie sheet."", ""Bake at 375\u00b0 for 10 minutes or until brown.""]",american,dessert,omnivorous
Suji Halwa,"[""*Note that the recipe generally calls for 8 tablespoons of ghee (clarified butter), so if you keep ghee on hand, go for it. I don't, so we used regular butter instead. And since I figured I'd end up eating a lot of the batch myself (as per usual), I opted for 5 tablespoons instead of 8, which makes for the yummy, more crumbly texture shown here."", ""Crush cardamom pods with mortar and pestle to separate the pods from the seeds. Set aside."", ""Add 2 cups water, plus sugar and cardamom pods (not seeds) to saucepan on medium-high heat. Let water come to a full boil, stirring occasionally to ensure sugar melts into the water. Then reduce heat to medium-low and let it continue to boil gently."", ""In a large frying pan, dry roast suji on medium heat until light brown and fragrant, stirring constantly. This will take 2 to 4 minutes."", ""Add butter, cardamom seeds and 1 tablespoon almonds to frying pan and cook for another 2 to 4 minutes until the butter is fully incorporated into the semolina, stirring constantly."", ""Reduce saucepan heat to low and remove cardamom pods. Slowly add water-sugar mixture to frying pan little by little (since it will sizzle), stirring often. Continue to cook and stir for 2 to 4 minutes. It's done when the water is absorbed and the halwa mixture separates in a mass and leaves some butter visible at the sides of the pan."", ""Let cool just a tad and scoop into dishes. Then crush pistachio with mortar and pestle and use it to garnish, along with remaining almond slivers.""]",indian,dessert,vegetarian
Chicken Hotpot,"[""Preheat the oven to 400F"", ""Joint the chicken into 8 pieces."", ""Heat the dripping or butter in a frying pan, add the chicken and colour on both sides to seal - you may have to do this in batches."", ""Remove from the pan and put in an ovenproof casserole dish."", ""In the same frying pan, melt 1/4 of the butter over a medium heat."", ""Tip in the carrots and scallions and cook without colouring for about 3-5 minutes."", ""Scatter the carrots, scallions, peas and crushed garlic over the chicken."", ""Pour on the hot stock and season."", ""Coat the potatoes with 1/2 of the melted butter and place half the potatoes over the chicken to make a level topping; season to taste."", ""Carefully lay the rest of the potatoes decoratively on top."", ""Brush with the remaining melted butter."", ""Bake for 15 minutes and then reduce the heat to 375F Cook for a further hour, brushing with butter regularly."", ""If the potatoes begin to brown too much, cover with kitchen foil."", ""Remove the hot pot from the oven, sprinkle with chopped parsley and serve with cold pickled red cabbage.""]",british,main,omnivorous
Baked Acorn Squash,"[""Cut squash in half, and remove seeds."", ""Combineremaining ingredients, and spoon into squash halves, place squash halves in slow cooker."", ""Cover, and cook on low for 5-6 hours, or until squash is tender.""]",american,side,vegetarian
Apple Pie,"[""Combine sugar, flour, cinnamon, lemon juice and apples in bowl; mix together until apples are coated."", ""Make crust; line 9-inch pie plate."", ""Fill with apple mixture; dot with butter."", ""Adjust top crust, cutting slits for escape of steam; seal."", ""Sprinkle with sugar."", ""Bake at 400\u00b0 for 50 minutes or until done."", ""Put foil over edges to prevent over browning.""]",american,dessert,vegetarian
Soft Ginger Creams ,"[""1. In a large mixing bowl, beat the shortening with a mixer for 30 seconds."", """", ""2. Add the sugar, ginger, baking soda, nutmeg cinnamon, cloves and salt."", """", ""3. Beat until combined, occasionally scraping the sides of the bowl."", """", ""4. Beat in the egg, molasses and water on low speed until combined."", """", ""5. Using the mixer, beat in as much of the flour as you can."", """", ""6. Stir in any remaining flour by hand. Cover and chill the dough for 3 hours. Dough will be soft."", """", ""7. Drop the dough by the rounded teaspoon (keep them small) 2 inches apart on greased cookie sheets. Chill the formed cookies an additional 30 minutes before baking."", """", ""8. Preheat the oven to 375'"", ""while the cookies chill."", """", ""9. Bake at 375'for 8 minutes"", ""or until the edges are firm. Allow to cool on wire racks."", """", ""10. Frost with icing."", """", ""Icing: ln a mixing bowl, combine the powdered"", ""sugar, melted butter and milk. Stir in additional"", ""milk if needed. Drizzle over the cooled cookies.""]",american,dessert,omnivorous
Refreshing Octopus and Wakame Salad,"[""Cut wakame into bite-sized pieces."", ""Rehydrate in water if using dried wakame."", ""Cut the octopus into thin slices."", ""Mix the wakame and octopus in a bowl."", ""Serve on a plate and pour \""Riken\"" oil-free shiso leaf dressing, and you're done.""]",japanese,side,omnivorous
Green Bean Casserole - Best Ever ,"[""Rinse, trim and cut green beans in half. Bring a gallon of water and 2 tbsp of salt to a boil in an 8-quart saucepan. Add the beans and blanch for 5 minutes. Drain, and immediately plunge the beans into a large bowl of ice water to stop cooking. Drain and set aside."", """", ""Fry bacon strips until fairly crisp in a 12-in skillet. Remove and set aside."", ""Melt butter in skillet with bacon drippings over med-high heat. Add the mushrooms, 1 tsp salt and pepper and cook, stirring occasionally, until the mushrooms begin to give up some of their liquid, approximately 5 minutes. Add the garlic and nutmeg and continue to cook for another 1 to 2 minutes. Sprinkle the flour over the mixture and stir to combine. Cook for 1 min. Add the broth and simmer for 1 min. Decrease the heat to med-low and add the half-and-half. Cook until the mixture thickens, stirring occasionally, approx 6-8 minutes."", """", ""Remove from heat and stir in 14 of the French's onions and all of the green beans. Add bacon strips and stir well."", """", ""In a baking dish pour half of the green bean mixture. Place half of the Swiss cheese on top. Put 1/2 of the remaining French's onions on top of the Swiss cheese. Pour remaining green bean mixture into the baking dish and top with remaining French's onions. Top casserole with remaining Swiss cheese."", """", ""Cover and refrigerate casserole until you are ready to bake in the oven."", """", ""Preheat oven to 350 degrees. Cover with foil and bake for 30-45 minutes. Remove foil and continue cooking until the Swiss cheese turns slightly brown. Remove and serve immediately.""]",american,side,omnivorous
Chocolate Pizza,"[""Microwave chips and 14 ounces of the almond bark in bowl on High for 2 minutes; stir additionally until smooth."", ""Stir in marshmallows, cereal and peanuts."", ""Pour onto greased 12-inch pizza pan."", ""Top with cherries; sprinkle with coconut."", ""Microwave remaining 2 ounces bark and oil in glass measuring cup for 1 minute."", ""Continue until smooth."", ""Drizzle over coconut. Refrigerate until firm."", ""Store at room temperature.""]",italian,dessert,vegetarian
Mocha Creams with Raspberries,"[""Preheat oven to 350 degrees."", ""Heat cream to steaming in a small pan."", ""Stir in espresso powder, chocolate, and sugar."", ""Whisk in egg yolks."", ""Pour the mixture into pudding cups; this makes enough for 4 small or 2 large creams."", ""Place the cups in a larger pan."", ""Add hot water to the pan; the water should be about halfway up the pudding cups."", ""Cover the pan with tin foil."", ""Bake for 30 minutes."", ""Remove from oven and refrigerate until set."", ""Just before serving, top with raspberries and whipped cream.""]",french,dessert,omnivorous
Oktoberfest Brats Hoagie,"[""Grill or cook the bratwurst according to package directions."", ""Spread horseradish sauce on inside of hoagie roll."", ""Cut Bratwurst in half lengthwise and place on bun."", ""Arrange 1-ounce, turkey, 1-ounce ham, 3-slices tomato, 2-slices cheese, 2-strips bacon, 3-slices onion, 1-dill pickle and 1/2-cup lettuce onto bratwurst.""]",german,main,omnivorous
Sopa De Platano (Spicy Plantain And Corn Soup),"[""Melt the butter in a large saucepan or pot over medium heat. Add the onion and garlic, cooking until the onion is soft."", ""Add plantains, corn, and tomato. Cook for about five minutes."", ""Add all of the remaining ingredients, except for the nutmeg, and simmer until the plantain slices are tender. Add the nutmeg and serve hot.""]",latin american,main,vegetarian
Apple Cobbler,"[""Stir together pie filling, fried apples, 2 tablespoons flour, and cinnamon."", ""Spoon into a lightly greased 8-inch square baking dish."", ""Remove and discard crusts from bread (I freeze them for a later use)."", ""Cut each slice into 5 strips."", ""Using 5 strips at a time, laying them side by side in a single layer, cover entire top of apples in a checker board pattern."", ""Stir together remaining 2 tablespoons flour, sugar, butter, egg, and rind."", ""Drizzle over top of bread slices."", ""Bake at 350F for 35 to 45 minutes or until golden and bubbly."", ""For other fruit:."", ""Substitute 2 20 oz."", ""cans cherry pie filling for apple pie filling and"", ""1 15 oz."", ""can dark sweet cherries, drained, for the fried apples.""]",american,dessert,vegetarian
Watermelon Salad With Pomegranate Vinaigrette,"[""For the pomegranate vinaigrette:"", ""Place the citrus juice, pomegranate molasses, vinegar, honey, mustard, shallots, coriander, salt and pepper in a container. Emulsify, adding the oil slowly. Taste for seasoning."", ""For the watermelon salad:"", ""Combine the watermelon, cucumber, tomatoes, feta, basil and mint. Add the arugula and pine nuts. Plate and top with the currants and 3 ounces of the pomegranate vinaigrette.""]",american,starter,vegan
Biscuit Bread,"[""Combine all ingredients and mix well. Pour batter into a hot well-greased cast-iron skillet. Bake at 400\u00b0 for 18 to 20 minutes or until brown.""]",southern,side,vegetarian
White Beans With Onion Confit,"[""In a large saucepan, heat the olive oil until shimmering. Add the onions, garlic, rosemary and crushed red pepper and season with salt and pepper. Cover and cook over moderately high heat, stirring occasionally, until just softened, about 5 minutes."", ""Uncover and cook over moderately low heat, stirring occasionally, until the onions are very soft and lightly caramelized, about 15 minutes longer."", ""Stir in the beans, parsley and water and simmer until stewy, about 5 minutes."", ""Stir in the cheese and season with salt and pepper. Serve warm or at room temperature.""]",mediterranean,main,vegan
Pork And Pepperoni Pizza Burgers,"[""In a medium bowl, stir together ground pork, pepperoni, bread crumbs, pizza sauce and oregano. Shape mixture into 6 patties. Grill or broil burgers for 5 mintues per side, until an instant read thermometer reads 160 degrees F. Place burgers on buns; top each patty with cheese.""]",italian,main,omnivorous
Kentucky Jam Cake,"[""Cream butter and add brown sugar. Add beaten egg yolks.""]",american,dessert,omnivorous
"Onion, Ricotta & Sage Omelette","[""Preheat grill (broiler) to hot."", ""Whisk eggs in a bowl with salt & freshly ground pepper (to taste)."", ""Heat oil in in a 24-26cm (10-12in) pan."", ""Add onion & cook over medium heat, stirring occasionally, until soft & golden."", ""stir in sage & garlic."", ""Pour the eggs into the onion mix, crumble the ricotta over the top, then shake the pan to combine."", ""Top with sage & cook over med-low heat for 6 mins until almost set."", ""Place the pan under a hot grill (broiler) for 4-6 minsuntil golden."", ""slice & serve.""]",italian,main,vegetarian
Mock Oyster Casserole,"[""Cook eggplant and onion in unsalted water until tender."", ""Drain thoroughly."", ""Combine all ingredients; mix well."", ""Pour into buttered casserole and bake, uncovered, at 350\u00b0 for 30 minutes.""]",american,main,vegetarian
Pronto Taco Chili,"[""Over medium heat, cook beef, onion and garlic in a large saucepan until beef is browned."", ""Drain off any remaining fat."", ""Add beef broth, tomatoes, salsa, pasta, bell pepper, and chili powder."", ""Bring to a boil, stirring occasionally."", ""Reduce heat and simmer, covered, for about 10 minutes or until pasta is tender.""]",mexican,main,omnivorous
Cream of Leek Soup,"[""Wash leeks - make sure no sand between layers."", ""Dice leeks, reserve 1 cup of whites for later use."", ""Place green leeks and vegetables and put into large soup pot."", ""Add Water and bring to boil."", ""Add salt and pepper along with milk and boil for 30 minutes."", ""Strain soup reserving both liquid and vegetables."", ""Puree vegetables and return to soup pot."", ""Add reserved diced white leeks, butter and cream."", ""Bring to boil."", ""Watch pot stirring frequently."", ""Reduced heat and cook for 15 additional minutes."", ""Top with cheese if desired.""]",french,starter,vegetarian
Coconut Pie(Makes Own Crust)  ,"[""Combine all ingredients in order given and mix well."", ""Pour into a greased glass pie pan and bake at 350\u00b0 for 1 hour.""]",american,dessert,omnivorous
